newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma,nu,pi1,pi2,pi3,pi4,pi5,pi6,lpi1,lpi2,lpi3,lpi4,lpi5,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
"Intact Sheet","Intact Sheet",6.3534391,.25,.01,.003,81,37.8,"N","N","N","N","Stuck","",45.3,35,3,.00008166,.0029177,.24048848,.23829202,.51822015,.51822015,1000,64,.96,630.72169,6.944e+08,.62500001,.30000001,19.248571,64.161902,6.4468647,20.358623,-.47000361,-1.2039728,2.9574368,1,0,.0097592,0,"Broken or Intact Sheet",.06348894,.11858441,.32722501,.0887626,.40193903
"Intact Sheet","Intact Sheet",6.3534391,.25,.01,.004,81,46.1,"N","N","N","N","Stuck","",55.3,36,4,.00026423,.00937758,.50054269,.24035326,.24946224,.50054269,1000,64,.96,630.72169,6.944e+08,1.1111112,.40000003,25.40631,63.51577,6.4468647,20.358623,.10536061,-.91629066,3.2349976,1,0,.0008899,0,"Broken or Intact Sheet",.05206888,.10073436,.30399944,.08980497,.45339234
"Splash","Splash",6.3534391,.25,.015,.0005,81,40.8,"56","M","N","N","DIS","",48.9,37,5,1.229e-06,.00004403,.00477391,.00897547,.98620536,.98620536,1000,64,.96,630.72169,3.086e+08,.01736111,.03333334,3.2918125,98.754368,6.4468647,19.547693,-4.0535225,-3.4011973,1.1914383,2,1,.9784958,1,"Splash",.10470278,.17275691,.36417431,.0780022,.28036379
"Splash","Splash",6.3534391,.25,.015,.0015,81,45.4,"71","M","N","N","SD","",54.5,38,6,3.977e-06,.00014248,.01528298,.02787668,.95669388,.95669388,1000,64,.96,630.72169,3.086e+08,.15625,.1,9.7734198,97.734195,6.4468647,19.547693,-1.856298,-2.3025851,2.2796664,2,1,.8416548,1,"Splash",.08568355,.14962345,.35397001,.08358802,.32713497
"Intact Sheet","Intact Sheet",6.3534391,.25,.015,.003,81,48.9,"N","N","N","N","Stick","Castle",58.7,39,7,.00002315,.00082888,.08275363,.12495938,.79143496,.79143496,1000,64,.96,630.72169,3.086e+08,.62500001,.20000001,19.248571,96.242853,6.4468647,19.547693,-.47000361,-1.6094379,2.9574368,2,0,.1449224,0,"Broken or Intact Sheet",.06348894,.11858441,.32722501,.0887626,.40193903
"Intact Sheet","Intact Sheet",6.3534391,.25,.015,.004,81,53.7,"N","N","Y","N","Stuck","",64.4,40,8,.00007491,.00267717,.22519488,.23233651,.53971653,.53971653,1000,64,.96,630.72169,3.086e+08,1.1111112,.26666669,25.40631,95.273655,6.4468647,19.547693,.10536061,-1.3217558,3.2349976,2,0,.0144323,0,"Broken or Intact Sheet",.05206888,.10073436,.30399944,.08980497,.45339234
"Splash","Splash",6.3534391,.25,.02,.0005,81,50.1,"60","M","N","N","DIS","",60.1,41,9,3.483e-07,.00001248,.00135794,.00257849,.99605074,.99605074,1000,64,.96,630.72169,1.736e+08,.01736111,.025,3.2918125,131.67249,6.4468647,18.972328,-4.0535225,-3.6888794,1.1914383,3,1,.9984254,1,"Splash",.10470278,.17275691,.36417431,.0780022,.28036379
"Splash","Splash",6.3534391,.25,.02,.0015,81,59,"78","M","N","N","SD","",70.8,42,10,1.127e-06,.00004039,.00438101,.00824615,.98733133,.98733133,1000,64,.96,630.72169,1.736e+08,.15625,.075,9.7734198,130.31226,6.4468647,18.972328,-1.856298,-2.5902671,2.2796664,3,1,.9862,1,"Splash",.08568355,.14962345,.35397001,.08358802,.32713497
"Splash","Splash",6.3534391,.25,.02,.003,81,63.2,"97","M","N","N","Ring","",75.8,43,11,6.562e-06,.0002351,.0249674,.04429835,.93049258,.93049258,1000,64,.96,630.72169,1.736e+08,.62500001,.15,19.248571,128.3238,6.4468647,18.972328,-.47000361,-1.89712,2.9574368,3,1,.6836966,1,"Splash",.06348894,.11858441,.32722501,.0887626,.40193903
"Intact Sheet","Intact Sheet",6.3534391,.25,.02,.004,81,70.2,"N","N","Y","N","Stick","",84.2,44,12,.00002124,.00076041,.07644606,.11745184,.80532045,.80532045,1000,64,.96,630.72169,1.736e+08,1.1111112,.20000001,25.40631,127.03154,6.4468647,18.972328,.10536061,-1.6094378,3.2349976,3,0,.152838,0,"Broken or Intact Sheet",.05206888,.10073436,.30399944,.08980497,.45339234
