newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma_y,nu,sigma_i,sigma_f,sigma_v,pi1,pi2,pi3,pi4,pi5,pi6,pi7,pi8,,,,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
Splash,Splash,6.35,0.25,0.01,0.00,81,30.70,55,M,N,N,DIS,,36.80,33,1,0.000004,0.00,0.02,0.03,0.95,0.95,"1,000.50",64,0.96,"40,386.37","12,262.60","12,198.60",36711.7759036679000000000000000,36329.5695576679000000000000000,631.0370545563670000000000000,6.9479166666666700000000000,0.0173697916666667000000000,0.0000000002264694463612700,8.7267399819768800000000000,2.8785607196401800000000000,,,,1,1,0.70,1,Splash,0.10,0.17,0.36,0.08,0.28
Broken Sheet,Broken Sheet,6.35,0.25,0.01,0.00,81,33.10,68,M,N,Sheet,Stick,,39.70,34,2,0.00,0.00,0.05,0.09,0.86,0.86,"1,000.50",64,0.96,"40,386.37","4,130.20","4,066.20",4164.6876217408800000000000000,4036.6188397408800000000000000,631.0370545563670000000000000,6.9479166666666700000000000,0.1563281250000000000000000,0.0000000059889934028478200,26.1802199459306000000000000,0.9595202398800600000000000,,,,1,0,0.22,0,Broken or Intact Sheet,0.09,0.15,0.35,0.08,0.33
Intact Sheet,Intact Sheet,6.35,0.25,0.01,0.00,81,37.80,N,N,N,N,Stuck,,45.30,35,3,0.00,0.00,0.24,0.24,0.52,0.52,"1,000.50",64,0.96,"40,386.37","2,097.10","2,033.10",1073.6891009352200000000000000,1009.1547099352200000000000000,631.0370545563670000000000000,6.9479166666666700000000000,0.6253125000000000000000000,0.0000000464609106487204000,52.3604398918612000000000000,0.4797601199400300000000000,,,,1,0,0.01,0,Broken or Intact Sheet,0.06,0.12,0.33,0.09,0.40
Intact Sheet,Intact Sheet,6.35,0.25,0.01,0.00,81,46.10,N,N,N,N,Stuck,,55.30,36,4,0.00,0.01,0.50,0.24,0.25,0.50,"1,000.50",64,0.96,"40,386.37","1,588.83","1,524.83",616.3003175885610000000000000,567.6495243385610000000000000,631.0370545563670000000000000,6.9479166666666700000000000,1.1116666666666700000000000,0.0000001079226516886940000,69.8139198558150000000000000,0.3598200899550220000000000,,,,1,0,0.00,0,Broken or Intact Sheet,0.05,0.10,0.30,0.09,0.45
Splash,Splash,6.35,0.25,0.02,0.00,81,40.80,56,M,N,N,DIS,,48.90,37,5,0.000001,0.00,0.00,0.01,0.99,0.99,"1,000.50",64,0.96,"40,386.37","12,262.60","12,198.60",36711.7759036679000000000000000,36329.5695576679000000000000000,631.0370545563670000000000000,15.6328125000000000000000000,0.0173697916666667000000000,0.0000000002264694463612700,13.0901099729653000000000000,1.9190404797601200000000000,,,,2,1,0.98,1,Splash,0.10,0.17,0.36,0.08,0.28
Splash,Splash,6.35,0.25,0.02,0.00,81,45.40,71,M,N,N,SD,,54.50,38,6,0.000004,0.00,0.02,0.03,0.96,0.96,"1,000.50",64,0.96,"40,386.37","4,130.20","4,066.20",4164.6876217408800000000000000,4036.6188397408800000000000000,631.0370545563670000000000000,15.6328125000000000000000000,0.1563281250000000000000000,0.0000000059889934028478200,39.2703299188959000000000000,0.6396801599200400000000000,,,,2,1,0.84,1,Splash,0.09,0.15,0.35,0.08,0.33
Intact Sheet,Intact Sheet,6.35,0.25,0.02,0.00,81,48.90,N,N,N,N,Stick,Castle,58.70,39,7,0.00,0.00,0.08,0.12,0.79,0.79,"1,000.50",64,0.96,"40,386.37","2,097.10","2,033.10",1073.6891009352200000000000000,1009.1547099352200000000000000,631.0370545563670000000000000,15.6328125000000000000000000,0.6253125000000000000000000,0.0000000464609106487204000,78.5406598377919000000000000,0.3198400799600200000000000,,,,2,0,0.14,0,Broken or Intact Sheet,0.06,0.12,0.33,0.09,0.40
Intact Sheet,Intact Sheet,6.35,0.25,0.02,0.00,81,53.70,N,N,Y,N,Stuck,,64.40,40,8,0.00,0.00,0.23,0.23,0.54,0.54,"1,000.50",64,0.96,"40,386.37","1,588.83","1,524.83",616.3003175885610000000000000,567.6495243385610000000000000,631.0370545563670000000000000,15.6328125000000000000000000,1.1116666666666700000000000,0.0000001079226516886940000,104.7208797837220000000000000,0.2398800599700150000000000,,,,2,0,0.01,0,Broken or Intact Sheet,0.05,0.10,0.30,0.09,0.45
Splash,Splash,6.35,0.25,0.02,0.00,81,50.10,60,M,N,N,DIS,,60.10,41,9,0.000000,0.00,0.00,0.00,1.00,1.00,"1,000.50",64,0.96,"40,386.37","12,262.60","12,198.60",36711.7759036679000000000000000,36329.5695576679000000000000000,631.0370545563670000000000000,27.7916666666667000000000000,0.0173697916666667000000000,0.0000000002264694463612700,17.4534799639538000000000000,1.4392803598200900000000000,,,,3,1,1.00,1,Splash,0.10,0.17,0.36,0.08,0.28
Splash,Splash,6.35,0.25,0.02,0.00,81,59,78,M,N,N,SD,,70.80,42,10,0.000001,0.00,0.00,0.01,0.99,0.99,"1,000.50",64,0.96,"40,386.37","4,130.20","4,066.20",4164.6876217408800000000000000,4036.6188397408800000000000000,631.0370545563670000000000000,27.7916666666667000000000000,0.1563281250000000000000000,0.0000000059889934028478200,52.3604398918612000000000000,0.4797601199400300000000000,,,,3,1,0.99,1,Splash,0.09,0.15,0.35,0.08,0.33
Splash,Splash,6.35,0.25,0.02,0.00,81,63.20,97,M,N,N,Ring,,75.80,43,11,0.000007,0.00,0.02,0.04,0.93,0.93,"1,000.50",64,0.96,"40,386.37","2,097.10","2,033.10",1073.6891009352200000000000000,1009.1547099352200000000000000,631.0370545563670000000000000,27.7916666666667000000000000,0.6253125000000000000000000,0.0000000464609106487204000,104.7208797837220000000000000,0.2398800599700150000000000,,,,3,1,0.68,1,Splash,0.06,0.12,0.33,0.09,0.40
Intact Sheet,Intact Sheet,6.35,0.25,0.02,0.00,81,70.20,N,N,Y,N,Stick,,84.20,44,12,0.00,0.00,0.08,0.12,0.81,0.81,"1,000.50",64,0.96,"40,386.37","1,588.83","1,524.83",616.3003175885610000000000000,567.6495243385610000000000000,631.0370545563670000000000000,27.7916666666667000000000000,1.1116666666666700000000000,0.0000001079226516886940000,139.6278397116300000000000000,0.1799100449775110000000000,,,,3,0,0.15,0,Broken or Intact Sheet,0.05,0.10,0.30,0.09,0.45
Splash,Splash,6.35,0.25,0.03,0.00,81,63.80,55,M,N,N,DIS,,76.50,45,13,0.000000,0.000004,0.00,0.00,1.00,1.00,"1,000.50",64,0.96,"40,386.37","12,262.60","12,198.60",36711.7759036679000000000000000,36329.5695576679000000000000000,631.0370545563670000000000000,43.4244791666667000000000000,0.0173697916666667000000000,0.0000000002264694463612700,21.8168499549422000000000000,1.1514242878560700000000000,,,,3,1,1.00,1,Splash,0.10,0.17,0.36,0.08,0.28
Splash,Splash,6.35,0.25,0.03,0.00,81,70.80,76,M,N,N,SD,,85,46,14,0.000000,0.00,0.00,0.00,1.00,1.00,"1,000.50",64,0.96,"40,386.37","4,130.20","4,066.20",4164.6876217408800000000000000,4036.6188397408800000000000000,631.0370545563670000000000000,43.4244791666667000000000000,0.1563281250000000000000000,0.0000000059889934028478200,65.4505498648266000000000000,0.3838080959520240000000000,,,,3,1,1.00,1,Splash,0.09,0.15,0.35,0.08,0.33
Splash,Splash,6.35,0.25,0.03,0.00,81,75.30,88,M,N,N,Ring,,90.40,47,15,0.000002,0.00,0.01,0.01,0.98,0.98,"1,000.50",64,0.96,"40,386.37","2,097.10","2,033.10",1073.6891009352200000000000000,1009.1547099352200000000000000,631.0370545563670000000000000,43.4244791666667000000000000,0.6253125000000000000000000,0.0000000464609106487204000,130.9010997296530000000000000,0.1919040479760120000000000,,,,3,1,0.96,1,Splash,0.06,0.12,0.33,0.09,0.40
Splash,Splash,6.35,0.25,0.03,0.00,81,79.70,94,M,Y,N,SD,,95.60,48,16,0.000006,0.00,0.02,0.04,0.94,0.94,"1,000.50",64,0.96,"40,386.37","1,588.83","1,524.83",616.3003175885610000000000000,567.6495243385610000000000000,631.0370545563670000000000000,43.4244791666667000000000000,1.1116666666666700000000000,0.0000001079226516886940000,174.5347996395380000000000000,0.1439280359820090000000000,,,,3,1,0.67,1,Splash,0.05,0.10,0.30,0.09,0.45
Intact Sheet,Intact Sheet,6.35,1,0.01,0.00,81,30.10,N,N,N,N,Stuck,,36.10,49,1,0.00,0.13,0.81,0.04,0.02,0.81,"1,002",106,2.10,"40,446.92","26,790.44","26,684.44",63877.5277238280000000000000000,63373.0476442054000000000000000,381.5747242849400000000000000,2.4084353741496600000000000,0.0060210884353741500000000,0.0000000001629746305656510,2.3523113344908200000000000,8.3041464241328700000000000,,,,2,0,0.07,0,Broken or Intact Sheet,0.11,0.18,0.37,0.08,0.27
Intact Sheet,Intact Sheet,6.35,1,0.01,0.00,81,33,N,N,N,N,Stuck,,39.60,50,2,0.01,0.32,0.65,0.01,0.01,0.65,"1,002",106,2.10,"40,446.92","9,000.81","8,894.81",7210.2764314525900000000000000,7041.4497382450400000000000000,381.5747242849400000000000000,2.4084353741496600000000000,0.0541897959183673000000000,0.0000000043314912741039100,7.0569340034724500000000000,2.7680488080442900000000000,,,,2,0,0.03,0,Broken or Intact Sheet,0.10,0.17,0.36,0.08,0.29
Crater,Crater,6.35,1,0.01,0.00,81,33.10,N,N,N,Y,Stuck,Fill back,39.70,51,3,0.07,0.67,0.25,0.00,0.00,0.67,"1,002",106,2.10,"40,446.92","4,553.41","4,447.41",1845.2757811650300000000000000,1760.3624345612600000000000000,381.5747242849400000000000000,2.4084353741496600000000000,0.2167591836734690000000000,0.0000000338499532324603000,14.1138680069449000000000000,1.3840244040221400000000000,,,,2,0,0.01,0,Crater,0.09,0.15,0.36,0.08,0.32
Crater,Crater,6.35,1,0.01,0.00,81,29.50,N,N,N,Y,Stuck,Fill back,35.40,52,4,0.20,0.70,0.09,0.00,0.00,0.70,"1,002",106,2.10,"40,446.92","3,441.56","3,335.56",1054.1388793935400000000000000,990.2038694407090000000000000,381.5747242849400000000000000,2.4084353741496600000000000,0.3853496598639460000000000,0.0000000790060337266168000,18.8184906759265000000000000,1.0380183030166100000000000,,,,2,0,0.00,0,Crater,0.08,0.14,0.35,0.08,0.34
